[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3986565764.88188,04/28/2026,7:22 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC936,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD012,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCI245,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MnF2,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.08,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3986567479.32254,197.968452453613,999.606506347656,,,6,,,,27.7630482827023,,,10,,196.801315307617,199.153701782227,999.606506347656,999.606506347656,,,6.49553155899048,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,196.783203125,0,197.990688030536,,,0.00225426542633478,6.54625231091805E-5,0.00229175462101882,6.55094093329638E-5,0.823420524597168,0.988974094390869,27.0949268341064,0,30,4,200,0.000158609458594583,-0.938670456409454,0.159865438938141,3,,,,,,,,,,,,,,,,
,3986567599.75877,187.971519470215,999.606506347656,,,6,,,,27.7247817345611,,,10,,186.754852294922,189.200958251953,999.606506347656,999.606506347656,,,6.46174144744873,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,186.742080688477,0,188.017437405056,,,0.00233086763425662,6.78155397506832E-5,0.00237433460158106,6.78702057155077E-5,0.813323974609375,0.98869377374649,27.0180530548096,0,30,4,200,0.000140579853905365,-0.999492943286896,0.138534441590309,3,,,,,,,,,,,,,,,,
,3986567720.37502,177.978744506836,999.606506347656,,,6,,,,27.6872448540043,,,10,,176.793716430664,179.180877685547,999.606506347656,999.606506347656,,,6.42844200134277,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,176.776611328125,0,177.998825073242,,,0.00241156219444691,7.03014574966605E-5,0.00246158344792658,7.03642126664343E-5,0.803432524204254,0.988623678684235,26.9425144195557,0,30,4,200,0.000188357793376781,-1.06106281280518,0.117452308535576,3,,,,,,,,,,,,,,,,
,3986567840.98251,167.99055480957,999.606506347656,,,6,,,,27.6502301666222,,,10,,166.806106567383,169.206909179687,999.606506347656,999.606506347656,,,6.39503812789917,,1,0,0,0,0.0145721435546875,26.881721496582,2,1,1,166.774200439453,0,167.983391981858,,,0.00249680742851831,7.29328253242697E-5,0.00255396251526124,7.30047988699642E-5,0.793865859508514,0.988740682601929,26.8686141967773,9.04235744476318,30,4,200,0.000113188689283561,-1.11755728721619,0.21526625752449,3,,,,,,,,,,,,,,,,
,3986567960.5617,157.999031066895,999.606506347656,,,6,,,,27.6143455987683,,,10,,156.816497802734,159.232925415039,999.606506347656,999.606506347656,,,6.3625545501709,,1,0,0,0,0.0145721435546875,26.881721496582,2,1,1,156.76513671875,0,158.03011908898,,,0.00258748440203545,7.57293965850177E-5,0.00265213354563703,7.58109888675448E-5,0.784993886947632,0.988716661930084,26.798490524292,0,30,4,200,0.000235355095355771,-1.17598032951355,0.204825162887573,3,,,,,,,,,,,,,,,,
,3986568144.93295,149.983299255371,999.606506347656,,,6,,,,27.5811726346699,,,10,,149.953521728516,149.997314453125,999.606506347656,999.606506347656,,,6.32072496414185,,1,0,0,0,0.0145721435546875,26.881721496582,1,1,1,149.982345581055,0,149.978727552626,,,0.00265393722152588,7.7761945643991E-5,0.00272349063618098,7.78506902171084E-5,0.780053973197937,0.988752067089081,26.7461032867432,2.85369005723624E-5,30,4,200,-0.000136565984576009,-1.23225951194763,0.182532846927643,3,,,,,,,,,,,,,,,,
,3986568322.51294,144.120399475098,999.606506347656,,,6,,,,27.5520469977698,,,10,,143.379608154297,144.861190795898,999.606506347656,999.606506347656,,,6.26274633407593,,1,0,0,0,0.0145721435546875,27.3704795837402,2,1,1,143.379608154297,0,144.239616111473,,,0.00272602326779235,7.99011157414089E-5,0.00279843653666918,7.99930253782292E-5,0.778599381446838,0.988791644573212,26.7113723754883,5.16830444335937,30,4,200,0.00046904306509532,-1.17171907424927,0.168693661689758,3,,,,,,,,,,,,,,,,
,3986568403.32713,137.983642578125,999.606506347656,,,6,,,,27.5287667861946,,,10,,136.833938598633,139.173004150391,999.606506347656,999.606506347656,,,6.23421382904053,,1,0,0,0,0.0145721435546875,27.3704795837402,2,1,1,136.794281005859,0,138.009524310077,,,0.00279430604177003,8.2044900903822E-5,0.0028736881216397,8.21442398612279E-5,0.771270453929901,0.988572120666504,26.6599464416504,,30,4,200,0.000375246192561463,-1.20346736907959,0.170226603746414,3,,,,,,,,,,,,,,,,
,3986568464.74416,132.915191650391,999.606506347656,,,6,,,,27.5116275984903,,,10,,131.716018676758,134.138732910156,999.606506347656,999.606506347656,,,6.21182298660278,,1,0,0,0,0.0145721435546875,27.3704795837402,2,1,1,131.691650390625,0,132.96595294659,,,0.00284655170297043,8.36720036227924E-5,0.00293091071236959,8.37795960907311E-5,0.766709625720978,0.988962471485138,26.624963760376,4.02579789806623E-5,30,4,200,0.000485642027342692,-1.22680354118347,0.171849057078362,3,,,,,,,,,,,,,,,,
,3986568524.0082,127.966094970703,999.606506347656,,,6,,,,27.4951394076062,,,10,,126.786415100098,129.21516418457,999.606506347656,999.606506347656,,,6.19014120101929,,1,0,0,0,0.0145721435546875,26.881721496582,2,1,1,126.717025756836,0,128.053141960731,,,0.00289869078860472,8.53058709997268E-5,0.00298826331020448,8.54189427874437E-5,0.761950850486755,0.989084720611572,26.5899620056152,0.000399989366997033,30,4,200,0.000376687588868663,-1.25244998931885,0.174813345074654,3,,,,,,,,,,,,,,,,
,3986568583.04651,122.992233276367,999.606506347656,,,6,,,,27.4794593859047,,,10,,121.781448364258,124.223197937012,999.606506347656,999.606506347656,,,6.16452312469482,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,121.761268615723,0,123.0059767503,,,0.00295131762920719,8.69793101226555E-5,0.00304712068991073,8.71010772127324E-5,0.7563396692276,0.989371120929718,26.5523567199707,5.15289783477783,30,4,200,0.000242113179410808,-1.27732086181641,0.177285119891167,3,,,,,,,,,,,,,,,,
,3986568643.61697,118.013610839844,999.606506347656,,,6,,,,27.4641218751369,,,10,,116.782958984375,119.244262695313,999.606506347656,999.606506347656,,,6.13718461990356,,1,0,0,0,0.0145721435546875,27.3704795837402,2,1,1,116.782958984375,0,118.0113824915,,,0.00301393617038409,8.89279158581573E-5,0.00311556654837534,8.90575025678858E-5,0.75190544128418,0.989474236965179,26.5197830200195,,30,4,200,0.0004182537086308,-1.30754292011261,0.180294871330261,3,,,,,,,,,,,,,,,,
,3986568703.74255,112.97779083252,999.606506347656,,,6,,,,27.4494752005147,,,10,,111.830940246582,114.171211242676,999.606506347656,999.606506347656,,,6.11035966873169,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,111.784370422363,0,113.032411428598,,,0.00307684128919704,9.08700082566888E-5,0.00318368991558134,9.10051459513557E-5,0.748349368572235,0.989067316055298,26.4914932250977,8.94237327575684,30,4,200,0.000271442491794005,-1.33643519878387,0.183899447321892,3,,,,,,,,,,,,,,,,
,3986568764.13548,108.024559020996,999.606506347656,,,6,,,,27.4356686125162,,,10,,106.829795837402,109.236221313477,999.606506347656,999.606506347656,,,6.08284616470337,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,106.812896728516,0,108.058013916016,,,0.0031386873341103,9.2795709430507E-5,0.00325131483309291,9.29382953333751E-5,0.744406163692474,0.989001512527466,26.4623432159424,6.7644810769707E-5,30,4,200,0.000464851909782737,-1.36614012718201,0.187037065625191,3,,,,,,,,,,,,,,,,
,3986568824.9336,102.989891052246,999.606506347656,,,6,,,,27.4220645697021,,,10,,101.788703918457,104.207405090332,999.606506347656,999.606506347656,,,6.05606698989868,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,101.77237701416,0,103.023890904018,,,0.00320341708557991,9.48285304539747E-5,0.00332277560867812,9.49811900101721E-5,0.739859402179718,0.988858103752136,26.4310894012451,0,30,4,200,0.000473612861242145,-1.39395189285278,0.192341089248657,3,,,,,,,,,,,,,,,,
,3986568884.95792,97.9533805847168,999.606506347656,,,6,,,,27.4092281643626,,,10,,96.7605743408203,99.1703186035156,999.606506347656,999.606506347656,,,6.02872323989868,,1,0,0,0,0.0138092041015625,27.3704795837402,2,1,1,96.736442565918,0,97.9848873431866,,,0.0032698394467232,9.6904352473964E-5,0.00339559421812744,9.70627426972585E-5,0.735837519168854,0.98874568939209,26.4026432037354,8.91155433654785,30,4,200,0.000458966824226081,-1.42479908466339,0.196449637413025,3,,,,,,,,,,,,,,,,
,3986568944.62955,93.0188331604004,999.606506347656,,,6,,,,27.3968849108216,,,10,,91.8117752075195,94.2511596679688,999.606506347656,999.606506347656,,,6.00085401535034,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,91.786506652832,0,93.0426803001991,,,0.0033330681860479,9.89029489227046E-5,0.00346584240172934,9.90709567565009E-5,0.731435239315033,0.98859578371048,26.3731517791748,,30,4,200,0.000471371284220368,-1.4539874792099,0.201210677623749,3,,,,,,,,,,,,,,,,
,3986569068.73403,90.0561904907227,999.606506347656,,,6,,,,27.3846594886055,,,10,,90.0279769897461,90.0867614746094,999.606506347656,999.606506347656,,,5.96471452713013,,1,0,0,0,0.00091552734375,27.3704795837402,1,1,1,90.0303573608398,0,90.0593117607964,,,0.00335840566974148,9.96951187269097E-5,0.00349370287828199,9.98669360816394E-5,0.730040371417999,0.988927721977234,26.3553409576416,8.89613819122314,30,4,200,0.00028708585887216,-1.48202323913574,0.300839841365814,3,,,,,,,,,,,,,,,,
,3986569235.5529,88.6425132751465,999.606506347656,,,6,,,,27.378772926983,,,10,,88.3791885375977,88.9058380126953,999.606506347656,999.606506347656,,,5.94195890426636,,1,0,0,0,0.0138092041015625,27.3704795837402,2,1,1,88.3791885375977,0,88.653966833044,,,0.00337794593465795,0.000100320752619517,0.00351564661531211,0.000100494443936162,0.728487610816956,0.988774240016937,26.3435230255127,0,30,4,200,0.000279981089988723,-1.50075101852417,0.288069158792496,3,,,,,,,,,,,,,,,,
,3986569296.18795,87.5833053588867,999.606506347656,,,6,,,,27.378772926983,,,10,,87.3445892333984,87.8318862915039,999.606506347656,999.606506347656,,,5.93219900131226,,1,0,0,0,0.013885498046875,27.3704795837402,2,1,1,87.3347244262695,0,87.5896911621094,,,0.00339196561627097,0.000100779673460897,0.0035317856362603,0.00010095582599866,0.727050602436066,0.98871511220932,26.3379230499268,0,30,4,200,0.000259105756413192,-1.51080405712128,0.285717517137527,3,,,,,,,,,,,,,,,,
,3986569355.78279,86.5870933532715,999.606506347656,,,6,,,,27.3726893700809,,,10,,86.3459243774414,86.8333969116211,999.606506347656,999.606506347656,,,5.92369508743286,,1,0,0,0,0.0138092041015625,26.881721496582,2,1,1,86.3407897949219,0,86.5956306457519,,,0.00340421973449662,0.000101129834984144,0.0035440943588158,0.00010130792678102,0.72751772403717,0.988487660884857,26.3337574005127,0.298786222934723,30,4,200,0.000284654146526009,-1.51871883869171,0.283973544836044,3,,,,,,,,,,,,,,,,
