[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3986574401.16788,04/28/2026,9:46 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 419, MultiVu Release 2.3.4.15,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC936,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD012,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCI245,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,MnF2,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.08,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3986575515.33715,5.00180864334106,19999.71875,,,6,,,,27.256665491115,,,100,,4.9976658821106,5.00284433364868,19999.71875,19999.71875,,,3.29655575752258,,1,0,0,0,0.0145721435546875,25.904203414917,1,1,1,5.00159072875977,0,5.00017268841083,,,0.0488102624130151,0.00147092021039761,0.0515787754577028,0.00147442724179775,0.683184742927551,0.985954523086548,26.0446090698242,0,30,4,200,-0.00299425609409809,-2.23744630813599,0.392214179039001,3,,,,,,,,,,,,,,,,
,3986575589.70401,5.00187849998474,21999.48828125,,,6,,,,27.256665491115,,,100,,4.9975962638855,5.00256299972534,21999.48828125,21999.48828125,,,3.2968282699585,,1,0,0,0,0.0138092041015625,26.881721496582,1,1,1,5.00169563293457,0,5.00016106499566,,,0.0538601187894475,0.00162306993597037,0.0569140912538676,0.0016269416464902,0.683236420154572,0.985954821109772,26.044849395752,8.76240158081055,30,4,200,-0.00318673881702125,-2.46667456626892,0.43034490942955,3,,,,,,,,,,,,,,,,
,3986575663.42321,5.00209355354309,23999.583984375,,,6,,,,27.256665491115,,,100,,4.99736595153809,5.00255060195923,23999.583984375,23999.583984375,,,3.2972457408905,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00242042541504,0,5.00023038570697,,,0.0589615238679965,0.00177674889790432,0.0623030284221076,0.00178098920689014,0.683318078517914,0.985947668552399,26.0451622009277,0,30,4,200,-0.00326959579251707,-2.70090389251709,0.47373178601265,3,,,,,,,,,,,,,,,,
,3986575736.48785,5.00214719772339,25999.521484375,,,6,,,,27.256665491115,,,100,,4.99728345870972,5.00247573852539,25999.521484375,25999.521484375,,,3.29804277420044,,1,0,0,0,0.0145721435546875,26.881721496582,1,1,1,5.00196743011475,0,5.00007094277276,,,0.0641050808581088,0.0019319090401923,0.0677446329680341,0.00193653997657233,0.68307626247406,0.986020088195801,26.0441837310791,0,30,4,200,-0.00338650168851018,-2.93865084648132,0.512394249439239,3,,,,,,,,,,,,,,,,
,3986575809.75691,5.00166773796082,27999.603515625,,,6,,,,27.256665491115,,,100,,4.9972038269043,5.00285196304321,27999.603515625,27999.603515625,,,3.29291963577271,,1,0,0,0,0.0138092041015625,26.881721496582,1,1,1,5.00142335891724,0,4.9999856031858,,,0.069276887366927,0.00208905800645734,0.0732573754819469,0.00209412914109425,0.681333184242249,0.985983550548553,26.0372943878174,0.000293167744530365,30,4,200,-0.00340902432799339,-3.17778086662292,0.553785622119904,3,,,,,,,,,,,,,,,,
,3986575883.36807,5.00221109390259,29999.580078125,,,6,,,,27.256665491115,,,100,,4.99692964553833,5.00252199172974,29999.580078125,29999.580078125,,,3.29212212562561,,1,0,0,0,0.0145721435546875,27.3704795837402,1,1,1,5.00262784957886,0,5.00018861558702,,,0.0745656177119074,0.00224832935707655,0.0788411233565764,0.00225374610746034,0.681597650051117,0.985953152179718,26.0383167266846,0,30,4,200,-0.00346746714785695,-3.41962003707886,0.598950028419495,3,,,,,,,,,,,,,,,,
,3986575956.85969,5.00169253349304,31999.662109375,,,6,,,,27.256665491115,,,100,,4.99754095077515,5.00239324569702,31999.662109375,31999.662109375,,,3.29151511192322,,1,0,0,0,0.0145721435546875,26.881721496582,1,1,1,5.00150346755981,0,5.00014022544578,,,0.0799255225544919,0.00240956815266165,0.0844952349334314,0.00241537507960394,0.682038366794586,0.985953152179718,26.0400695800781,0,30,4,200,-0.00339355738833547,-3.66225671768188,0.635225296020508,3,,,,,,,,,,,,,,,,
,3986576030.17139,5.00206613540649,33999.61328125,,,6,,,,27.256665491115,,,100,,4.99704074859619,5.002357006073,33999.61328125,33999.61328125,,,3.29192185401916,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.002357006073,0,5.00004582934909,,,0.0853588270577652,0.00257307638203671,0.0902276562808418,0.00257924127739762,0.68235981464386,0.985941827297211,26.041389465332,0,30,4,200,-0.00338777457363904,-3.90641903877258,0.685121834278107,3,,,,,,,,,,,,,,,,
,3986576103.72497,5.00199270248413,35999.5859375,,,6,,,,27.256665491115,,,100,,4.99698972702026,5.00239181518555,35999.5859375,35999.5859375,,,3.29220676422119,,1,0,0,0,0.0145721435546875,27.3704795837402,1,1,1,5.0018482208252,0,5.00009487293385,,,0.0908661914730717,0.00273886717980704,0.0960414092210211,0.00274543424856196,0.682593166828156,0.98593658208847,26.0423316955566,0,30,4,200,-0.00331557891331613,-4.16049337387085,0.724871277809143,3,,,,,,,,,,,,,,,,
,3986576177.68916,5.0022623538971,37999.6953125,,,6,,,,27.256665491115,,,100,,4.99693822860718,5.00285053253174,37999.6953125,37999.6953125,,,3.29442572593689,,1,0,0,0,0.0138092041015625,27.3704795837402,1,1,1,5.00242567062378,0,5.00004355724041,,,0.0964593102700115,0.00290722505797721,0.101944673445518,0.00291418275677631,0.682814061641693,0.985933542251587,26.0431880950928,0,30,4,200,-0.00328511581756175,-4.41173219680786,0.77092057466507,3,,,,,,,,,,,,,,,,
